GEOID,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Estimate),UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Margin of Error),UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Estimate),UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Margin of Error)
15000US060372696021,139.0,-1.0,67.0,-1.0
15000US060372696022,86.0,-1.0,33.0,-1.0
15000US060372697001,95.0,-1.0,42.0,-1.0
15000US060372697002,78.0,-1.0,42.0,-1.0
15000US060372697003,60.0,-1.0,28.0,-1.0
15000US060372697004,62.0,-1.0,27.0,-1.0
15000US060372698001,114.0,-1.0,54.0,-1.0
15000US060372698002,162.0,-1.0,95.0,-1.0
15000US060372699031,315.0,-1.0,150.0,-1.0
15000US060372699041,37.0,-1.0,22.0,-1.0
15000US060372699042,94.0,-1.0,60.0,-1.0
15000US060372699043,86.0,-1.0,37.0,-1.0
15000US060372699051,50.0,-1.0,32.0,-1.0
15000US060372699052,155.0,-1.0,91.0,-1.0
15000US060372699061,272.0,-1.0,150.0,-1.0
15000US060372699071,237.0,-1.0,139.0,-1.0
15000US060372701001,91.0,-1.0,50.0,-1.0
15000US060372701002,38.0,-1.0,25.0,-1.0
15000US060372701003,98.0,-1.0,59.0,-1.0
15000US060372702001,89.0,-1.0,37.0,-1.0
15000US060372702002,103.0,-1.0,30.0,-1.0
15000US060372702003,117.0,-1.0,44.0,-1.0
15000US060372703001,72.0,-1.0,29.0,-1.0
15000US060372703002,117.0,-1.0,50.0,-1.0
15000US060372703003,127.0,-1.0,56.0,-1.0
15000US060372711001,100.0,-1.0,31.0,-1.0
15000US060372711002,133.0,-1.0,53.0,-1.0
15000US060372711003,111.0,-1.0,62.0,-1.0
15000US060372712001,141.0,-1.0,68.0,-1.0
15000US060372712002,82.0,-1.0,38.0,-1.0
15000US060372713001,39.0,-1.0,19.0,-1.0
15000US060372713002,58.0,-1.0,25.0,-1.0
15000US060372713003,81.0,-1.0,36.0,-1.0
15000US060372713004,34.0,-1.0,15.0,-1.0
15000US060372713005,35.0,-1.0,19.0,-1.0
15000US060372714001,49.0,-1.0,21.0,-1.0
15000US060372714002,107.0,-1.0,41.0,-1.0
15000US060372714003,151.0,-1.0,62.0,-1.0
15000US060372715001,85.0,-1.0,38.0,-1.0
15000US060372715002,61.0,-1.0,25.0,-1.0
15000US060372715003,132.0,-1.0,65.0,-1.0
15000US060372716001,106.0,-1.0,51.0,-1.0
15000US060372716002,88.0,-1.0,51.0,-1.0
15000US060372716003,77.0,-1.0,28.0,-1.0
15000US060372716004,159.0,-1.0,61.0,-1.0
15000US060372717011,70.0,-1.0,22.0,-1.0
15000US060372717012,55.0,-1.0,23.0,-1.0
15000US060372717013,120.0,-1.0,62.0,-1.0
15000US060372717014,70.0,-1.0,41.0,-1.0
15000US060372717021,125.0,-1.0,60.0,-1.0
15000US060372717022,75.0,-1.0,41.0,-1.0
15000US060372717023,158.0,-1.0,67.0,-1.0
15000US060372718011,69.0,-1.0,32.0,-1.0
15000US060372718012,137.0,-1.0,84.0,-1.0
15000US060372718013,39.0,-1.0,18.0,-1.0
15000US060372718021,71.0,-1.0,27.0,-1.0
15000US060372718022,148.0,-1.0,83.0,-1.0
15000US060372718023,73.0,-1.0,32.0,-1.0
15000US060372719011,83.0,-1.0,45.0,-1.0
15000US060372719012,139.0,-1.0,61.0,-1.0
15000US060372719013,81.0,-1.0,26.0,-1.0
15000US060372719021,69.0,-1.0,30.0,-1.0
15000US060372719022,120.0,-1.0,55.0,-1.0
15000US060372719023,207.0,-1.0,101.0,-1.0
15000US060372721001,112.0,-1.0,44.0,-1.0
15000US060372721002,67.0,-1.0,28.0,-1.0
15000US060372721003,59.0,-1.0,26.0,-1.0
15000US060372721004,81.0,-1.0,36.0,-1.0
15000US060372721005,57.0,-1.0,26.0,-1.0
15000US060372722011,135.0,-1.0,63.0,-1.0
15000US060372722012,100.0,-1.0,48.0,-1.0
15000US060372722021,89.0,-1.0,39.0,-1.0
15000US060372722022,199.0,-1.0,96.0,-1.0
15000US060372723011,76.0,-1.0,35.0,-1.0
15000US060372723012,96.0,-1.0,40.0,-1.0
15000US060372723013,70.0,-1.0,36.0,-1.0
15000US060372723021,187.0,-1.0,96.0,-1.0
15000US060372723022,178.0,-1.0,87.0,-1.0
15000US060372731001,97.0,-1.0,43.0,-1.0
15000US060372731002,134.0,-1.0,80.0,-1.0
15000US060372731003,111.0,-1.0,49.0,-1.0
15000US060372732001,74.0,-1.0,36.0,-1.0
15000US060372732002,95.0,-1.0,37.0,-1.0
15000US060372732003,60.0,-1.0,34.0,-1.0
15000US060372732004,89.0,-1.0,47.0,-1.0
15000US060372733001,110.0,-1.0,67.0,-1.0
15000US060372733002,54.0,-1.0,26.0,-1.0
15000US060372733003,59.0,-1.0,41.0,-1.0
15000US060372734021,26.0,-1.0,20.0,-1.0
15000US060372734022,38.0,-1.0,27.0,-1.0
15000US060372734023,31.0,-1.0,26.0,-1.0
15000US060372734024,43.0,-1.0,29.0,-1.0
15000US060372735021,40.0,-1.0,31.0,-1.0
15000US060372735022,28.0,-1.0,21.0,-1.0
15000US060372735023,99.0,-1.0,55.0,-1.0
15000US060372735024,69.0,-1.0,46.0,-1.0
15000US060372736001,38.0,-1.0,21.0,-1.0
15000US060372736002,39.0,-1.0,26.0,-1.0
15000US060372736003,36.0,-1.0,19.0,-1.0
15000US060372736004,85.0,-1.0,40.0,-1.0
15000US060372737001,84.0,-1.0,31.0,-1.0
15000US060372737002,79.0,-1.0,40.0,-1.0
15000US060372737003,89.0,-1.0,44.0,-1.0
15000US060372738001,155.0,-1.0,80.0,-1.0
15000US060372738002,89.0,-1.0,44.0,-1.0
15000US060372738003,52.0,-1.0,28.0,-1.0
15000US060372739021,60.0,-1.0,29.0,-1.0
15000US060372739022,38.0,-1.0,26.0,-1.0
15000US060372739023,38.0,-1.0,32.0,-1.0
15000US060372739024,57.0,-1.0,33.0,-1.0
15000US060372739025,28.0,-1.0,18.0,-1.0
15000US060372741001,173.0,-1.0,103.0,-1.0
15000US060372741002,52.0,-1.0,22.0,-1.0
15000US060372742021,84.0,-1.0,53.0,-1.0
15000US060372742022,54.0,-1.0,30.0,-1.0
15000US060372742023,38.0,-1.0,20.0,-1.0
15000US060372742024,34.0,-1.0,24.0,-1.0
15000US060372751011,183.0,-1.0,81.0,-1.0
15000US060372751021,229.0,-1.0,70.0,-1.0
15000US060372751022,73.0,-1.0,39.0,-1.0
15000US060372752001,107.0,-1.0,50.0,-1.0
15000US060372752002,127.0,-1.0,50.0,-1.0
15000US060372752003,97.0,-1.0,41.0,-1.0
15000US060372753021,44.0,-1.0,21.0,-1.0
15000US060372753022,131.0,-1.0,79.0,-1.0
15000US060372753023,100.0,-1.0,56.0,-1.0
15000US060372753111,47.0,-1.0,20.0,-1.0
15000US060372753112,75.0,-1.0,35.0,-1.0
15000US060372753113,66.0,-1.0,37.0,-1.0
15000US060372753114,90.0,-1.0,41.0,-1.0
15000US060372754001,85.0,-1.0,43.0,-1.0
15000US060372754002,196.0,-1.0,114.0,-1.0
15000US060372755001,85.0,-1.0,31.0,-1.0
15000US060372755002,74.0,-1.0,30.0,-1.0
15000US060372755003,67.0,-1.0,28.0,-1.0
15000US060372755004,166.0,-1.0,55.0,-1.0
15000US060372756021,409.0,-1.0,214.0,-1.0
15000US060372756031,77.0,-1.0,33.0,-1.0
15000US060372756032,57.0,-1.0,21.0,-1.0
15000US060372756033,116.0,-1.0,61.0,-1.0
15000US060372760001,38.0,-1.0,18.0,-1.0
15000US060372760002,60.0,-1.0,27.0,-1.0
15000US060372760003,69.0,-1.0,34.0,-1.0
15000US060372760004,72.0,-1.0,31.0,-1.0
15000US060372760005,40.0,-1.0,19.0,-1.0
15000US060372761001,85.0,-1.0,43.0,-1.0
15000US060372761002,136.0,-1.0,83.0,-1.0
15000US060372761003,35.0,-1.0,14.0,-1.0
15000US060372764001,76.0,-1.0,28.0,-1.0
15000US060372764002,85.0,-1.0,39.0,-1.0
15000US060372764003,76.0,-1.0,33.0,-1.0
15000US060372764004,58.0,-1.0,27.0,-1.0
15000US060372764005,49.0,-1.0,24.0,-1.0
15000US060372765001,500.0,-1.0,68.0,-1.0
15000US060372765002,306.0,-1.0,41.0,-1.0
15000US060372766011,91.0,-1.0,40.0,-1.0
15000US060372766012,77.0,-1.0,40.0,-1.0
15000US060372766013,55.0,-1.0,31.0,-1.0
15000US060372766014,88.0,-1.0,45.0,-1.0
15000US060372766031,100.0,-1.0,69.0,-1.0
15000US060372766032,142.0,-1.0,90.0,-1.0
15000US060372766041,119.0,-1.0,68.0,-1.0
15000US060372766042,111.0,-1.0,52.0,-1.0
15000US060372770001,74.0,-1.0,26.0,-1.0
15000US060372770002,46.0,-1.0,23.0,-1.0
15000US060372770003,87.0,-1.0,33.0,-1.0
15000US060372770004,47.0,-1.0,19.0,-1.0
15000US060372770005,59.0,-1.0,24.0,-1.0
15000US060372771001,89.0,-1.0,35.0,-1.0
15000US060372771002,74.0,-1.0,27.0,-1.0
15000US060372771003,126.0,-1.0,41.0,-1.0
15000US060372772001,180.0,-1.0,90.0,-1.0
15000US060372772002,,,,
15000US060372774001,102.0,-1.0,51.0,-1.0
15000US060372774002,80.0,-1.0,29.0,-1.0
15000US060372780011,154.0,-1.0,60.0,-1.0
15000US060372780012,162.0,-1.0,75.0,-1.0
15000US060372781021,70.0,-1.0,30.0,-1.0
15000US060372781022,112.0,-1.0,67.0,-1.0
15000US060372781023,95.0,-1.0,47.0,-1.0
15000US060372911101,168.0,-1.0,62.0,-1.0
15000US060372911102,108.0,-1.0,38.0,-1.0
15000US060372911201,240.0,-1.0,83.0,-1.0
15000US060372911301,126.0,-1.0,41.0,-1.0
15000US060372911302,166.0,-1.0,57.0,-1.0
15000US060372911303,100.0,-1.0,30.0,-1.0
15000US060372912101,96.0,-1.0,27.0,-1.0
15000US060372912102,208.0,-1.0,68.0,-1.0
15000US060372912103,124.0,-1.0,29.0,-1.0
15000US060372912201,75.0,-1.0,22.0,-1.0
15000US060372912202,256.0,-1.0,75.0,-1.0
15000US060372912203,85.0,-1.0,34.0,-1.0
15000US060372913001,128.0,-1.0,57.0,-1.0
15000US060372913002,108.0,-1.0,48.0,-1.0
15000US060372913003,109.0,-1.0,50.0,-1.0
15000US060372920001,72.0,-1.0,25.0,-1.0
15000US060372920002,100.0,-1.0,34.0,-1.0
15000US060372920003,209.0,-1.0,69.0,-1.0
15000US060372920004,81.0,-1.0,27.0,-1.0
15000US060372932011,90.0,-1.0,32.0,-1.0
15000US060372932012,102.0,-1.0,40.0,-1.0
15000US060372932013,112.0,-1.0,42.0,-1.0
15000US060372932021,71.0,-1.0,30.0,-1.0
15000US060372932022,183.0,-1.0,48.0,-1.0
15000US060372932023,189.0,-1.0,60.0,-1.0
15000US060372933011,243.0,-1.0,94.0,-1.0
15000US060372933021,217.0,-1.0,83.0,-1.0
15000US060372933022,184.0,-1.0,57.0,-1.0
15000US060372933041,179.0,-1.0,60.0,-1.0
15000US060372933042,127.0,-1.0,50.0,-1.0
15000US060372933061,84.0,-1.0,31.0,-1.0
15000US060372933062,212.0,-1.0,83.0,-1.0
15000US060372933071,170.0,-1.0,77.0,-1.0
15000US060372933072,93.0,-1.0,36.0,-1.0
15000US060372941101,124.0,-1.0,31.0,-1.0
15000US060372941102,108.0,-1.0,33.0,-1.0
15000US060372941103,68.0,-1.0,19.0,-1.0
15000US060372941201,76.0,-1.0,21.0,-1.0
15000US060372941202,147.0,-1.0,35.0,-1.0
15000US060372941203,73.0,-1.0,20.0,-1.0
15000US060372942001,82.0,-1.0,23.0,-1.0
15000US060372942002,134.0,-1.0,44.0,-1.0
15000US060372942003,111.0,-1.0,29.0,-1.0
15000US060372943011,187.0,-1.0,54.0,-1.0
15000US060372943012,146.0,-1.0,41.0,-1.0
15000US060372943021,143.0,-1.0,42.0,-1.0
15000US060372943022,180.0,-1.0,57.0,-1.0
15000US060372944101,163.0,-1.0,49.0,-1.0
15000US060372944102,256.0,-1.0,98.0,-1.0
15000US060372944211,143.0,-1.0,61.0,-1.0
15000US060372944212,79.0,-1.0,25.0,-1.0
15000US060372944213,72.0,-1.0,30.0,-1.0
15000US060372945101,154.0,-1.0,36.0,-1.0
15000US060372945102,178.0,-1.0,47.0,-1.0
15000US060372945201,205.0,-1.0,53.0,-1.0
15000US060372945202,246.0,-1.0,64.0,-1.0
15000US060372946101,84.0,-1.0,24.0,-1.0
15000US060372946102,235.0,-1.0,76.0,-1.0
15000US060372946201,106.0,-1.0,31.0,-1.0
15000US060372946202,125.0,-1.0,37.0,-1.0
15000US060372946203,79.0,-1.0,22.0,-1.0
15000US060372947011,80.0,-1.0,23.0,-1.0
15000US060372947012,120.0,-1.0,36.0,-1.0
15000US060372947013,179.0,-1.0,57.0,-1.0
15000US060372948101,260.0,-1.0,60.0,-1.0
15000US060372948102,229.0,-1.0,67.0,-1.0
15000US060372948201,235.0,-1.0,66.0,-1.0
15000US060372948202,157.0,-1.0,42.0,-1.0
15000US060372948301,314.0,-1.0,84.0,-1.0
15000US060372948302,127.0,-1.0,44.0,-1.0
15000US060372949001,220.0,-1.0,62.0,-1.0
15000US060372949002,201.0,-1.0,56.0,-1.0
15000US060372951031,163.0,-1.0,80.0,-1.0
15000US060372951032,82.0,-1.0,32.0,-1.0
15000US060372962101,66.0,-1.0,20.0,-1.0
15000US060372962102,83.0,-1.0,43.0,-1.0
15000US060372962103,113.0,-1.0,40.0,-1.0
15000US060372962201,35.0,-1.0,13.0,-1.0
15000US060372962202,140.0,-1.0,56.0,-1.0
15000US060372962203,76.0,-1.0,52.0,-1.0
15000US060372963001,140.0,-1.0,44.0,-1.0
15000US060372963002,285.0,-1.0,133.0,-1.0
15000US060372964011,208.0,-1.0,87.0,-1.0
15000US060372964012,94.0,-1.0,41.0,-1.0
15000US060372964021,113.0,-1.0,42.0,-1.0
15000US060372964022,56.0,-1.0,24.0,-1.0
15000US060372964023,89.0,-1.0,36.0,-1.0
15000US060372965001,79.0,-1.0,29.0,-1.0
15000US060372965002,88.0,-1.0,33.0,-1.0
15000US060372965003,69.0,-1.0,23.0,-1.0
15000US060372966001,57.0,-1.0,20.0,-1.0
15000US060372966002,58.0,-1.0,29.0,-1.0
15000US060372966003,58.0,-1.0,24.0,-1.0
15000US060372966004,123.0,-1.0,52.0,-1.0
15000US060372969011,121.0,-1.0,58.0,-1.0
15000US060372969012,122.0,-1.0,52.0,-1.0
15000US060372969013,43.0,-1.0,24.0,-1.0
15000US060372969021,92.0,-1.0,36.0,-1.0
15000US060372969022,166.0,-1.0,80.0,-1.0
15000US060372969023,41.0,-1.0,22.0,-1.0
15000US060372970001,58.0,-1.0,27.0,-1.0
15000US060372970002,37.0,-1.0,15.0,-1.0
15000US060372970003,65.0,-1.0,32.0,-1.0
15000US060372970004,63.0,-1.0,34.0,-1.0
15000US060372970005,50.0,-1.0,22.0,-1.0
15000US060372971101,188.0,-1.0,69.0,-1.0
15000US060372971102,166.0,-1.0,62.0,-1.0
15000US060372971201,88.0,-1.0,34.0,-1.0
15000US060372971202,148.0,-1.0,52.0,-1.0
15000US060372972011,147.0,-1.0,57.0,-1.0
15000US060372972012,104.0,-1.0,46.0,-1.0
15000US060372972021,123.0,-1.0,53.0,-1.0
15000US060372972022,111.0,-1.0,43.0,-1.0
15000US060372972023,49.0,-1.0,15.0,-1.0
15000US060372973001,156.0,-1.0,56.0,-1.0
15000US060372973002,63.0,-1.0,16.0,-1.0
15000US060372973003,97.0,-1.0,42.0,-1.0
15000US060372974001,87.0,-1.0,31.0,-1.0
15000US060372974002,227.0,-1.0,113.0,-1.0
15000US060372974003,66.0,-1.0,29.0,-1.0
15000US060372975001,68.0,-1.0,36.0,-1.0
15000US060372975002,30.0,-1.0,14.0,-1.0
15000US060372975003,38.0,-1.0,21.0,-1.0
15000US060372975004,45.0,-1.0,19.0,-1.0
15000US060372975005,44.0,-1.0,16.0,-1.0
15000US060372976011,86.0,-1.0,42.0,-1.0
15000US060372976012,43.0,-1.0,34.0,-1.0
15000US060372976013,75.0,-1.0,26.0,-1.0
15000US060372976021,66.0,-1.0,37.0,-1.0
15000US060372976022,122.0,-1.0,54.0,-1.0
15000US060372976023,97.0,-1.0,44.0,-1.0
15000US060373001001,93.0,-1.0,35.0,-1.0
15000US060373001002,58.0,-1.0,24.0,-1.0
15000US060373001003,77.0,-1.0,28.0,-1.0
15000US060373001004,87.0,-1.0,32.0,-1.0
15000US060373002001,122.0,-1.0,49.0,-1.0
15000US060373002002,99.0,-1.0,36.0,-1.0
15000US060373002003,65.0,-1.0,26.0,-1.0
15000US060373002004,60.0,-1.0,21.0,-1.0
15000US060373002005,136.0,-1.0,50.0,-1.0
15000US060373003011,97.0,-1.0,32.0,-1.0
15000US060373003012,55.0,-1.0,22.0,-1.0
15000US060373003013,52.0,-1.0,15.0,-1.0
15000US060373003014,35.0,-1.0,13.0,-1.0
15000US060373003015,28.0,-1.0,12.0,-1.0
15000US060373003016,65.0,-1.0,25.0,-1.0
15000US060373004001,72.0,-1.0,27.0,-1.0
15000US060373004002,62.0,-1.0,22.0,-1.0
15000US060373004003,63.0,-1.0,25.0,-1.0
15000US060373004004,36.0,-1.0,15.0,-1.0
15000US060373004005,50.0,-1.0,17.0,-1.0
15000US060373004006,55.0,-1.0,19.0,-1.0
15000US060373005011,112.0,-1.0,43.0,-1.0
15000US060373005012,61.0,-1.0,21.0,-1.0
15000US060373005013,73.0,-1.0,24.0,-1.0
15000US060373005021,113.0,-1.0,47.0,-1.0
15000US060373005022,102.0,-1.0,53.0,-1.0
15000US060373005023,89.0,-1.0,36.0,-1.0
15000US060373006001,52.0,-1.0,22.0,-1.0
15000US060373006002,36.0,-1.0,15.0,-1.0
15000US060373006003,171.0,-1.0,65.0,-1.0
15000US060373006004,98.0,-1.0,43.0,-1.0
15000US060373006005,172.0,-1.0,54.0,-1.0
15000US060373007011,31.0,-1.0,16.0,-1.0
15000US060373007012,47.0,-1.0,16.0,-1.0
15000US060373007013,50.0,-1.0,17.0,-1.0
15000US060373007014,94.0,-1.0,34.0,-1.0
15000US060373007015,120.0,-1.0,46.0,-1.0
15000US060373007021,143.0,-1.0,60.0,-1.0
15000US060373007022,146.0,-1.0,59.0,-1.0
15000US060373008001,148.0,-1.0,60.0,-1.0
15000US060373008002,82.0,-1.0,25.0,-1.0
15000US060373008003,70.0,-1.0,28.0,-1.0
15000US060373008004,66.0,-1.0,24.0,-1.0
15000US060373008005,38.0,-1.0,17.0,-1.0
15000US060373009011,65.0,-1.0,26.0,-1.0
15000US060373009012,53.0,-1.0,20.0,-1.0
15000US060373009013,158.0,-1.0,62.0,-1.0
15000US060373009021,105.0,-1.0,40.0,-1.0
15000US060373009022,203.0,-1.0,74.0,-1.0
15000US060373010001,88.0,-1.0,38.0,-1.0
15000US060373010002,140.0,-1.0,50.0,-1.0
15000US060373010003,95.0,-1.0,41.0,-1.0
15000US060373010004,80.0,-1.0,42.0,-1.0
15000US060373011001,32.0,-1.0,14.0,-1.0
15000US060373011002,53.0,-1.0,16.0,-1.0
15000US060373011003,67.0,-1.0,22.0,-1.0
15000US060373011004,53.0,-1.0,18.0,-1.0
15000US060373011005,60.0,-1.0,32.0,-1.0
15000US060373011006,80.0,-1.0,37.0,-1.0
15000US060373012031,157.0,-1.0,71.0,-1.0
15000US060373012032,203.0,-1.0,96.0,-1.0
15000US060373012041,103.0,-1.0,39.0,-1.0
15000US060373012042,92.0,-1.0,40.0,-1.0
15000US060373012043,70.0,-1.0,32.0,-1.0
15000US060373012051,156.0,-1.0,56.0,-1.0
15000US060373012052,56.0,-1.0,22.0,-1.0
15000US060373012053,125.0,-1.0,42.0,-1.0
15000US060373012061,208.0,-1.0,71.0,-1.0
15000US060373012062,102.0,-1.0,35.0,-1.0
15000US060373012063,78.0,-1.0,36.0,-1.0
15000US060373012064,107.0,-1.0,42.0,-1.0
15000US060373013001,108.0,-1.0,41.0,-1.0
15000US060373013002,164.0,-1.0,62.0,-1.0
15000US060373014001,74.0,-1.0,33.0,-1.0
15000US060373014002,114.0,-1.0,40.0,-1.0
15000US060373014003,48.0,-1.0,23.0,-1.0
15000US060373014004,68.0,-1.0,27.0,-1.0
15000US060373015011,84.0,-1.0,31.0,-1.0
15000US060373015012,127.0,-1.0,50.0,-1.0
15000US060373015021,89.0,-1.0,34.0,-1.0
15000US060373015022,125.0,-1.0,46.0,-1.0
15000US060373015023,97.0,-1.0,39.0,-1.0
15000US060373016011,74.0,-1.0,32.0,-1.0
15000US060373016012,70.0,-1.0,22.0,-1.0
15000US060373016013,77.0,-1.0,27.0,-1.0
15000US060373016014,79.0,-1.0,30.0,-1.0
15000US060373016021,208.0,-1.0,81.0,-1.0
15000US060373016022,54.0,-1.0,31.0,-1.0
15000US060373016023,90.0,-1.0,40.0,-1.0
15000US060373017011,108.0,-1.0,49.0,-1.0
15000US060373017012,97.0,-1.0,43.0,-1.0
15000US060373017021,135.0,-1.0,49.0,-1.0
15000US060373017022,126.0,-1.0,52.0,-1.0
15000US060373017023,90.0,-1.0,31.0,-1.0
15000US060373017024,56.0,-1.0,22.0,-1.0
15000US060373018011,81.0,-1.0,32.0,-1.0
15000US060373018012,207.0,-1.0,89.0,-1.0
15000US060373018013,98.0,-1.0,51.0,-1.0
15000US060373018021,174.0,-1.0,75.0,-1.0
15000US060373018022,117.0,-1.0,52.0,-1.0
15000US060373019001,121.0,-1.0,60.0,-1.0
15000US060373019002,108.0,-1.0,43.0,-1.0
15000US060373019003,50.0,-1.0,24.0,-1.0
15000US060373019004,138.0,-1.0,62.0,-1.0
15000US060373020021,74.0,-1.0,35.0,-1.0
15000US060373020022,169.0,-1.0,84.0,-1.0
15000US060373020023,64.0,-1.0,27.0,-1.0
15000US060373020031,272.0,-1.0,115.0,-1.0
15000US060373020041,325.0,-1.0,128.0,-1.0
15000US060373021021,79.0,-1.0,43.0,-1.0
15000US060373021022,68.0,-1.0,31.0,-1.0
15000US060373021023,76.0,-1.0,31.0,-1.0
15000US060373021024,46.0,-1.0,22.0,-1.0
15000US060373021025,48.0,-1.0,22.0,-1.0
15000US060373021031,140.0,-1.0,47.0,-1.0
15000US060373021032,195.0,-1.0,72.0,-1.0
15000US060373021033,146.0,-1.0,57.0,-1.0
15000US060373021041,55.0,-1.0,26.0,-1.0
15000US060373021042,113.0,-1.0,45.0,-1.0
15000US060373021043,185.0,-1.0,59.0,-1.0
15000US060373022011,85.0,-1.0,40.0,-1.0
15000US060373022012,123.0,-1.0,43.0,-1.0
15000US060373022013,118.0,-1.0,81.0,-1.0
15000US060373022021,114.0,-1.0,46.0,-1.0
15000US060373022022,159.0,-1.0,63.0,-1.0
15000US060373022023,75.0,-1.0,29.0,-1.0
15000US060373022024,46.0,-1.0,23.0,-1.0
15000US060373023011,140.0,-1.0,45.0,-1.0
15000US060373023012,236.0,-1.0,98.0,-1.0
15000US060373023021,137.0,-1.0,45.0,-1.0
15000US060373023022,128.0,-1.0,50.0,-1.0
15000US060373023023,119.0,-1.0,40.0,-1.0
15000US060373023024,77.0,-1.0,37.0,-1.0
15000US060373024011,89.0,-1.0,25.0,-1.0
15000US060373024012,67.0,-1.0,28.0,-1.0
15000US060373024013,43.0,-1.0,17.0,-1.0
15000US060373024014,43.0,-1.0,16.0,-1.0
15000US060373024015,49.0,-1.0,14.0,-1.0
15000US060373025031,143.0,-1.0,54.0,-1.0
15000US060373025032,101.0,-1.0,42.0,-1.0
15000US060373025033,76.0,-1.0,27.0,-1.0
15000US060373025041,183.0,-1.0,70.0,-1.0
15000US060373025042,67.0,-1.0,30.0,-1.0
15000US060373025043,63.0,-1.0,28.0,-1.0
15000US060373025051,115.0,-1.0,55.0,-1.0
15000US060373025052,66.0,-1.0,24.0,-1.0
15000US060373025053,139.0,-1.0,43.0,-1.0
15000US060373025061,42.0,-1.0,18.0,-1.0
15000US060373025062,121.0,-1.0,47.0,-1.0
15000US060373025063,111.0,-1.0,44.0,-1.0
15000US060373101001,71.0,-1.0,29.0,-1.0
15000US060373101002,79.0,-1.0,25.0,-1.0
15000US060373101003,88.0,-1.0,28.0,-1.0
15000US060373101004,68.0,-1.0,29.0,-1.0
15000US060373102011,37.0,-1.0,13.0,-1.0
15000US060373102012,70.0,-1.0,25.0,-1.0
15000US060373102013,59.0,-1.0,25.0,-1.0
15000US060373102014,104.0,-1.0,46.0,-1.0
15000US060373102021,162.0,-1.0,57.0,-1.0
15000US060373102022,194.0,-1.0,82.0,-1.0
15000US060373102023,66.0,-1.0,24.0,-1.0
15000US060373103001,83.0,-1.0,32.0,-1.0
15000US060373103002,52.0,-1.0,20.0,-1.0
15000US060373103003,59.0,-1.0,23.0,-1.0
15000US060373103004,78.0,-1.0,30.0,-1.0
15000US060373104001,66.0,-1.0,23.0,-1.0
15000US060373104002,151.0,-1.0,49.0,-1.0
15000US060373104003,124.0,-1.0,61.0,-1.0
15000US060373105011,58.0,-1.0,23.0,-1.0
15000US060373105012,126.0,-1.0,53.0,-1.0
15000US060373105013,120.0,-1.0,38.0,-1.0
15000US060373106011,126.0,-1.0,45.0,-1.0
15000US060373106012,118.0,-1.0,42.0,-1.0
15000US060373106013,91.0,-1.0,37.0,-1.0
15000US060373106021,107.0,-1.0,49.0,-1.0
15000US060373106022,139.0,-1.0,64.0,-1.0
15000US060373107011,171.0,-1.0,72.0,-1.0
15000US060373107012,44.0,-1.0,30.0,-1.0
15000US060373107021,93.0,-1.0,52.0,-1.0
15000US060373107022,116.0,-1.0,71.0,-1.0
15000US060373107023,121.0,-1.0,54.0,-1.0
15000US060373107031,134.0,-1.0,58.0,-1.0
15000US060373107032,104.0,-1.0,48.0,-1.0
15000US060373108001,70.0,-1.0,31.0,-1.0
15000US060373108002,78.0,-1.0,25.0,-1.0
15000US060373108003,127.0,-1.0,56.0,-1.0
15000US060373108004,100.0,-1.0,44.0,-1.0
15000US060373108005,128.0,-1.0,47.0,-1.0
15000US060373109001,59.0,-1.0,21.0,-1.0
15000US060373109002,74.0,-1.0,31.0,-1.0
15000US060373109003,28.0,-1.0,17.0,-1.0
15000US060373109004,55.0,-1.0,24.0,-1.0
15000US060373109005,43.0,-1.0,17.0,-1.0
15000US060373109006,49.0,-1.0,19.0,-1.0
15000US060373110001,70.0,-1.0,25.0,-1.0
15000US060373110002,59.0,-1.0,27.0,-1.0
15000US060373110003,153.0,-1.0,63.0,-1.0
15000US060373110004,61.0,-1.0,28.0,-1.0
15000US060373111001,122.0,-1.0,45.0,-1.0
15000US060373111002,141.0,-1.0,49.0,-1.0
15000US060373111003,85.0,-1.0,31.0,-1.0
15000US060373112001,130.0,-1.0,43.0,-1.0
15000US060373112002,101.0,-1.0,48.0,-1.0
15000US060373112003,80.0,-1.0,33.0,-1.0
15000US060373113001,74.0,-1.0,30.0,-1.0
15000US060373113002,126.0,-1.0,60.0,-1.0
15000US060373113003,160.0,-1.0,59.0,-1.0
15000US060373114001,169.0,-1.0,71.0,-1.0
15000US060373114002,213.0,-1.0,91.0,-1.0
15000US060373115001,112.0,-1.0,46.0,-1.0
15000US060373115002,107.0,-1.0,45.0,-1.0
15000US060373115003,116.0,-1.0,53.0,-1.0
15000US060373116001,52.0,-1.0,35.0,-1.0
15000US060373116002,157.0,-1.0,99.0,-1.0
15000US060373116003,39.0,-1.0,26.0,-1.0
15000US060373116004,68.0,-1.0,35.0,-1.0
15000US060373116005,26.0,-1.0,19.0,-1.0
15000US060373117001,89.0,-1.0,35.0,-1.0
15000US060373117002,50.0,-1.0,23.0,-1.0
15000US060373117003,46.0,-1.0,17.0,-1.0
15000US060373117004,49.0,-1.0,17.0,-1.0
